"row ID"	"Protein.Group"	"UniProt_Organism"	"Stripped.Sequence (Count)"	"PG.MaxLFQ+1_1_log2"	"PG.MaxLFQ+2_1_log2"	"PG.MaxLFQ+1_3_log2"	"PG.MaxLFQ+2_3_log2"	"PG.MaxLFQ+1_log2"	"PG.MaxLFQ+2_log2"
"Row183"	"O75122;Q7Z460"	"Homo sapiens (Human);Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row184"	"O75131;Q86YQ8"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row185"	"O75150"	"Homo sapiens (Human)"	21	1	1	1	1	1	1
"Row186"	"O75151;Q9UPP1"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row187"	"O75155"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row188"	"O75157;Q9Y3Q8"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row189"	"O75175"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row190"	"O75179;Q8IWZ3"	"Homo sapiens (Human);Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row191"	"O75190;P25686"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row192"	"O75251"	"Homo sapiens (Human)"	5	1	1	1	1	1	1
"Row193"	"O75317"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row194"	"O75326"	"Homo sapiens (Human)"	15	1	1	1	1	1	1
"Row195"	"O75347"	"Homo sapiens (Human)"	10	1	1	1	1	1	1
"Row196"	"O75351;Q6PIW4;Q9UN37"	"Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row197"	"O75362"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row198"	"O75367;Q9P0M6"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row199"	"O75369;P21333"	"Homo sapiens (Human);Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row200"	"O75379"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row201"	"O75387"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row202"	"O75394"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row203"	"O75410"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row204"	"O75420"	"Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row205"	"O75436"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row206"	"O75439"	"Homo sapiens (Human)"	19	1	1	1	1	1	1
"Row207"	"O75449"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row208"	"O75475"	"Homo sapiens (Human)"	18	1	1	1	1	1	1
"Row209"	"O75477;O94905"	"Homo sapiens (Human);Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row210"	"O75496"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row211"	"O75521"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row212"	"O75531"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row213"	"O75554"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row214"	"O75575"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row215"	"O75600"	"Homo sapiens (Human)"	7	1	1	1	1	1	1
"Row216"	"O75616"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row217"	"O75648"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row218"	"O75676"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row219"	"O75688;P35813"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row220"	"O75694"	"Homo sapiens (Human)"	31	1	1	1	1	1	1
"Row221"	"O75746"	"Homo sapiens (Human)"	23	1	1	1	1	1	1
"Row222"	"O75787"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row223"	"O75794"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row224"	"O75818"	"Homo sapiens (Human)"	4	1	1	1	1	1	1
"Row225"	"O75828"	"Homo sapiens (Human)"	1	1	1	1			1
"Row226"	"O75843"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row227"	"O75874"	"Homo sapiens (Human)"	18	1	1	1	1	1	1
"Row228"	"O75880"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row229"	"O75886;Q92783"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row230"	"O75909"	"Homo sapiens (Human)"	8	1	1	1	1	1	1
"Row231"	"O75928"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row232"	"O75937"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row233"	"O75947"	"Homo sapiens (Human)"	13	1	1	1	1	1	1
"Row234"	"O75964"	"Homo sapiens (Human)"	6	1	1	1	1	1	1
"Row235"	"O76003"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row236"	"O76024"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row237"	"O76071"	"Homo sapiens (Human)"	12	1	1	1	1	1	1
"Row238"	"O76094"	"Homo sapiens (Human)"	29	1	1	1	1	1	1
"Row239"	"O94760;O95865"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row240"	"O94763"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row241"	"O94776"	"Homo sapiens (Human)"	24	1	1	1	1	1	1
"Row242"	"O94804;Q9H2G2"	"Homo sapiens (Human);Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row243"	"O94806"	"Homo sapiens (Human)"	2	1	1	1	1	1	1
"Row244"	"O94826_UP"	""	24	1	1	1	1	1	1
"Row245"	"O94830;Q9Y6Y8"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row246"	"O94842;O94900"	"Homo sapiens (Human);Homo sapiens (Human)"	1	1	1	1	1	1	1
"Row247"	"O94868"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row248"	"O94875"	"Homo sapiens (Human)"	3	1	1	1	1	1	1
"Row249"	"O94888"	"Homo sapiens (Human)"	11	1	1	1	1	1	1
"Row250"	"O94901"	"Homo sapiens (Human)"	16	1	1	1	1	1	1
"Row251"	"O94906"	"Homo sapiens (Human)"	35	1	1	1	1	1	1
